node_id,count,expected,loss_rate,avg_pm25,avg_temp_tenths,avg_noise_db
noise_10,1691,1800,0.0606,,,66.49
noise_11,1678,1800,0.0678,,,76.36
noise_12,1674,1800,0.07,,,56.73
noise_13,1577,1800,0.1239,,,58.47
noise_14,1544,1800,0.1422,,,42.31
noise_15,1594,1800,0.1144,,,52.79
noise_16,1569,1800,0.1283,,,49.03
poll_02,1701,1800,0.055,83.65,,
poll_03,1659,1800,0.0783,92.49,,
poll_04,1661,1800,0.0772,112.12,,
poll_05,1672,1800,0.0711,93.03,,
poll_06,1540,1799,0.144,62.48,,
poll_07,1567,1800,0.1294,64.7,,
poll_08,1556,1800,0.1356,99.21,,
temp_09,1122,1200,0.065,,246.03,
temp_0a,1126,1199,0.0609,,267.94,
temp_0b,1137,1199,0.0517,,274.89,
temp_0c,1054,1200,0.1217,,293.2,
temp_0d,1053,1200,0.1225,,275.92,
temp_0e,1074,1200,0.105,,251.22,
temp_0f,1037,1198,0.1344,,275.74,
